pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw,date
102.0,16549.0,-80.7,-86.7,70.0,38.0,-35.708319589864516,-12.996765446375415,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
100.0,16660.0,-80.3,-86.3,75.0,39.0,-37.671107225273666,-10.09394275899831,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
95.3,16936.0,-74.5,-79.5,65.0,42.0,-38.0649270555393,-17.749966993109375,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
93.0,17077.0,-74.7,-79.9,60.0,43.0,-37.23909236273086,-21.500000000000004,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
81.0,17876.0,-75.8,-82.3,180.0,5.0,-6.123233995736766e-16,5.0,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
70.0,18720.0,-76.9,-84.9,285.0,42.0,40.56888470414087,-10.870399894305852,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
63.6,19273.0,-76.9,-86.9,226.0,27.0,19.422174609143582,18.755776002392928,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
54.0,20244.0,-69.5,-88.4,125.0,1.0,-0.8191520442889917,0.5735764363510462,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
50.0,20700.0,-66.1,-89.1,180.0,6.0,-7.347880794884119e-16,6.0,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
48.2,20923.0,-64.9,-91.9,261.0,9.0,8.889195065356239,1.4079101853620792,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
48.0,,,,270.0,9.0,9.0,1.6532731788489267e-15,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
1009.0,33.0,23.6,21.1,240.0,8.0,6.928203230275507,4.0000000000000036,96237,96237,2025-06-01,-2.16,106.13,33.0,46.57,2025-06-01
1007.0,51.0,23.2,20.3,241.0,10.0,8.74619707139396,4.848096202463369,96237,96237,2025-06-01,-2.16,106.13,33.0,46.57,2025-06-01
1000.0,113.0,23.6,19.8,245.0,19.0,17.219847953696352,8.029746973073284,96237,96237,2025-06-01,-2.16,106.13,33.0,46.57,2025-06-01
994.0,166.0,25.0,19.0,242.0,21.0,18.541899450037466,9.858902818503706,96237,96237,2025-06-01,-2.16,106.13,33.0,46.57,2025-06-01
979.0,299.0,24.9,18.4,235.0,25.0,20.47880110722479,14.33941090877616,96237,96237,2025-06-01,-2.16,106.13,33.0,46.57,2025-06-01
